,empo_1,empo_2,empo_3
training_8868,Free-living,Non-saline,Soil (non-saline)
training_8869,Host-associated,Animal,Animal distal gut
training_8870,Host-associated,Animal,Animal distal gut
training_8871,Host-associated,Animal,Animal distal gut
training_8872,Free-living,Non-saline,Water (non-saline)
training_8873,Free-living,Non-saline,Surface (non-saline)
training_8874,Host-associated,Plant,Plant surface
training_8875,Host-associated,Animal,Animal distal gut
training_8876,Host-associated,Animal,Animal distal gut
training_8877,Host-associated,Animal,Animal distal gut
training_8878,Free-living,Non-saline,Water (non-saline)
training_8879,Host-associated,Animal,Animal distal gut
training_8880,Free-living,Non-saline,Water (non-saline)
training_8881,Host-associated,Animal,Animal distal gut
training_8882,Host-associated,Animal,Animal surface
training_8883,Host-associated,Animal,Animal secretion
training_8884,Free-living,Non-saline,Soil (non-saline)
training_8885,Free-living,Non-saline,Surface (non-saline)
training_8886,Free-living,Non-saline,Surface (non-saline)
training_8887,Host-associated,Animal,Animal secretion
training_8888,Free-living,Non-saline,Soil (non-saline)
training_8889,Host-associated,Animal,Animal distal gut
training_8890,Host-associated,Animal,Animal surface
training_8891,Host-associated,Animal,Animal surface
training_8892,Host-associated,Animal,Animal distal gut
training_8893,Free-living,Non-saline,Sediment (non-saline)
training_8894,Free-living,Non-saline,Sediment (non-saline)
training_8895,Free-living,Non-saline,Soil (non-saline)
training_8896,Free-living,Non-saline,Soil (non-saline)
training_8897,Free-living,Non-saline,Water (non-saline)
training_8898,Host-associated,Animal,Animal surface
training_8899,Free-living,Saline,Water (saline)
training_8900,Host-associated,Animal,Animal distal gut
training_8901,Free-living,Saline,Surface (saline)
training_8902,Host-associated,Plant,Plant surface
training_8903,Free-living,Saline,Water (saline)
training_8904,Free-living,Non-saline,Water (non-saline)
training_8905,Free-living,Non-saline,Soil (non-saline)
training_8906,Host-associated,Animal,Animal distal gut
training_8907,Free-living,Non-saline,Soil (non-saline)
training_8908,Host-associated,Animal,Animal distal gut
training_8909,Free-living,Non-saline,Soil (non-saline)
training_8910,Free-living,Non-saline,Water (non-saline)
training_8911,Free-living,Non-saline,Soil (non-saline)
training_8912,Free-living,Saline,Surface (saline)
training_8913,Host-associated,Animal,Animal distal gut
training_8914,Free-living,Non-saline,Surface (non-saline)
training_8915,Free-living,Non-saline,Soil (non-saline)
training_8916,Free-living,Non-saline,Soil (non-saline)
training_8917,Host-associated,Animal,Animal proximal gut
training_8918,Host-associated,Animal,Animal secretion
training_8919,Host-associated,Animal,Animal distal gut
training_8920,Free-living,Non-saline,Water (non-saline)
training_8921,Free-living,Non-saline,Soil (non-saline)
training_8922,Free-living,Non-saline,Water (non-saline)
training_8923,Free-living,Non-saline,Soil (non-saline)
training_8924,Host-associated,Animal,Animal secretion
training_8925,Host-associated,Animal,Animal surface
training_8926,Free-living,Non-saline,Sediment (non-saline)
training_8927,Host-associated,Plant,Plant rhizosphere
training_8928,Host-associated,Animal,Animal distal gut
training_8929,Host-associated,Animal,Animal surface
training_8930,Free-living,Non-saline,Soil (non-saline)
training_8931,Free-living,Non-saline,Soil (non-saline)
training_8932,Free-living,Non-saline,Surface (non-saline)
training_8933,Host-associated,Animal,Animal distal gut
training_8934,Free-living,Non-saline,Aerosol (non-saline)
training_8935,Host-associated,Animal,Animal distal gut
training_8936,Host-associated,Animal,Animal surface
training_8937,Host-associated,Animal,Animal corpus
training_8938,Free-living,Non-saline,Surface (non-saline)
training_8939,Host-associated,Animal,Animal distal gut
training_8940,Free-living,Non-saline,Soil (non-saline)
training_8941,Host-associated,Animal,Animal surface
training_8942,Free-living,Non-saline,Surface (non-saline)
training_8943,Free-living,Non-saline,Soil (non-saline)
training_8944,Host-associated,Animal,Animal proximal gut
training_8945,Host-associated,Animal,Animal corpus
training_8946,Host-associated,Animal,Animal surface
training_8947,Free-living,Non-saline,Water (non-saline)
training_8948,Host-associated,Animal,Animal surface
training_8949,Host-associated,Animal,Animal distal gut
training_8950,Free-living,Non-saline,Water (non-saline)
training_8951,Free-living,Non-saline,Water (non-saline)
training_8952,Free-living,Non-saline,Surface (non-saline)
training_8953,Free-living,Non-saline,Soil (non-saline)
training_8954,Free-living,Non-saline,Soil (non-saline)
training_8955,Host-associated,Animal,Animal distal gut
training_8956,Host-associated,Animal,Animal distal gut
training_8957,Host-associated,Plant,Plant rhizosphere
training_8958,Free-living,Non-saline,Soil (non-saline)
training_8959,Host-associated,Animal,Animal distal gut
training_8960,Free-living,Non-saline,Surface (non-saline)
training_8961,Free-living,Non-saline,Water (non-saline)
training_8962,Free-living,Non-saline,Water (non-saline)
training_8963,Free-living,Non-saline,Soil (non-saline)
training_8964,Free-living,Non-saline,Soil (non-saline)
training_8965,Free-living,Non-saline,Water (non-saline)
training_8966,Host-associated,Plant,Plant rhizosphere
training_8967,Host-associated,Animal,Animal secretion
training_8968,Host-associated,Animal,Animal surface
training_8969,Host-associated,Animal,Animal secretion
training_8970,Host-associated,Animal,Animal surface
training_8971,Free-living,Non-saline,Water (non-saline)
training_8972,Free-living,Saline,Sediment (saline)
training_8973,Free-living,Saline,Sediment (saline)
training_8974,Free-living,Saline,Water (saline)
training_8975,Host-associated,Animal,Animal distal gut
training_8976,Free-living,Non-saline,Surface (non-saline)
training_8977,Host-associated,Animal,Animal distal gut
training_8978,Host-associated,Animal,Animal distal gut
training_8979,Host-associated,Animal,Animal distal gut
training_8980,Host-associated,Animal,Animal surface
training_8981,Host-associated,Animal,Animal secretion
training_8982,Free-living,Saline,Sediment (saline)
training_8983,Free-living,Non-saline,Water (non-saline)
training_8984,Host-associated,Animal,Animal distal gut
training_8985,Free-living,Non-saline,Surface (non-saline)
training_8986,Host-associated,Animal,Animal proximal gut
training_8987,Free-living,Saline,Sediment (saline)
training_8988,Host-associated,Animal,Animal distal gut
training_8989,Host-associated,Animal,Animal surface
training_8990,Host-associated,Animal,Animal surface
training_8991,Free-living,Non-saline,Surface (non-saline)
training_8992,Host-associated,Animal,Animal distal gut
training_8993,Host-associated,Animal,Animal distal gut
training_8994,Free-living,Non-saline,Surface (non-saline)
training_8995,Host-associated,Animal,Animal distal gut
training_8996,Host-associated,Animal,Animal surface
training_8997,Free-living,Non-saline,Water (non-saline)
training_8998,Host-associated,Plant,Plant rhizosphere
training_8999,Free-living,Non-saline,Water (non-saline)
training_9000,Free-living,Non-saline,Water (non-saline)
training_9001,Free-living,Non-saline,Surface (non-saline)
training_9002,Free-living,Non-saline,Water (non-saline)
training_9003,Free-living,Non-saline,Water (non-saline)
training_9004,Free-living,Non-saline,Soil (non-saline)
training_9005,Free-living,Non-saline,Water (non-saline)
training_9006,Host-associated,Animal,Animal distal gut
training_9007,Free-living,Saline,Sediment (saline)
training_9008,Host-associated,Plant,Plant surface
training_9009,Host-associated,Plant,Plant surface
training_9010,Free-living,Non-saline,Water (non-saline)
training_9011,Free-living,Non-saline,Sediment (non-saline)
training_9012,Host-associated,Animal,Animal distal gut
training_9013,Free-living,Non-saline,Soil (non-saline)
training_9014,Free-living,Non-saline,Soil (non-saline)
training_9015,Host-associated,Plant,Plant rhizosphere
training_9016,Free-living,Non-saline,Soil (non-saline)
training_9017,Host-associated,Plant,Plant surface
training_9018,Host-associated,Animal,Animal proximal gut
training_9019,Host-associated,Plant,Plant corpus
training_9020,Host-associated,Animal,Animal surface
training_9021,Free-living,Non-saline,Water (non-saline)
training_9022,Host-associated,Plant,Plant surface
training_9023,Host-associated,Animal,Animal surface
training_9024,Host-associated,Animal,Animal surface
training_9025,Host-associated,Animal,Animal distal gut
training_9026,Free-living,Non-saline,Soil (non-saline)
training_9027,Host-associated,Animal,Animal proximal gut
training_9028,Free-living,Non-saline,Water (non-saline)
training_9029,Free-living,Non-saline,Water (non-saline)
training_9030,Free-living,Saline,Surface (saline)
training_9031,Free-living,Non-saline,Water (non-saline)
training_9032,Host-associated,Plant,Plant surface
training_9033,Free-living,Non-saline,Water (non-saline)
training_9034,Free-living,Non-saline,Soil (non-saline)
training_9035,Host-associated,Animal,Animal surface
training_9036,Free-living,Non-saline,Soil (non-saline)
training_9037,Free-living,Non-saline,Sediment (non-saline)
training_9038,Host-associated,Animal,Animal distal gut
training_9039,Free-living,Non-saline,Soil (non-saline)
training_9040,Free-living,Non-saline,Soil (non-saline)
training_9041,Free-living,Non-saline,Soil (non-saline)
training_9042,Host-associated,Animal,Animal distal gut
training_9043,Host-associated,Plant,Plant surface
training_9044,Free-living,Saline,Sediment (saline)
training_9045,Free-living,Non-saline,Soil (non-saline)
training_9046,Host-associated,Animal,Animal distal gut
training_9047,Free-living,Non-saline,Water (non-saline)
training_9048,Host-associated,Plant,Plant surface
training_9049,Free-living,Non-saline,Soil (non-saline)
training_9050,Host-associated,Plant,Plant surface
training_9051,Host-associated,Animal,Animal surface
training_9052,Host-associated,Animal,Animal surface
training_9053,Free-living,Non-saline,Soil (non-saline)
training_9054,Free-living,Non-saline,Water (non-saline)
training_9055,Host-associated,Plant,Plant surface
training_9056,Free-living,Non-saline,Surface (non-saline)
training_9057,Host-associated,Animal,Animal surface
training_9058,Free-living,Non-saline,Water (non-saline)
training_9059,Host-associated,Animal,Animal surface
training_9060,Host-associated,Animal,Animal surface
training_9061,Free-living,Non-saline,Water (non-saline)
training_9062,Host-associated,Animal,Animal distal gut
training_9063,Free-living,Non-saline,Water (non-saline)
training_9064,Host-associated,Animal,Animal secretion
training_9065,Free-living,Non-saline,Sediment (non-saline)
training_9066,Free-living,Non-saline,Water (non-saline)
training_9067,Free-living,Saline,Water (saline)
training_9068,Free-living,Non-saline,Soil (non-saline)
training_9069,Host-associated,Plant,Plant rhizosphere
training_9070,Host-associated,Plant,Plant surface
training_9071,Host-associated,Animal,Animal distal gut
training_9072,Free-living,Non-saline,Water (non-saline)
training_9073,Free-living,Non-saline,Water (non-saline)
training_9074,Host-associated,Animal,Animal distal gut
training_9075,Host-associated,Plant,Plant rhizosphere
training_9076,Free-living,Non-saline,Soil (non-saline)
training_9077,Free-living,Non-saline,Soil (non-saline)
training_9078,Host-associated,Animal,Animal distal gut
training_9079,Free-living,Non-saline,Water (non-saline)
training_9080,Free-living,Non-saline,Soil (non-saline)
training_9081,Host-associated,Plant,Plant surface
training_9082,Host-associated,Animal,Animal surface
training_9083,Host-associated,Animal,Animal corpus
training_9084,Free-living,Non-saline,Water (non-saline)
training_9085,Host-associated,Animal,Animal proximal gut
training_9086,Host-associated,Animal,Animal surface
training_9087,Host-associated,Animal,Animal distal gut
training_9088,Free-living,Non-saline,Water (non-saline)
training_9089,Free-living,Non-saline,Water (non-saline)
training_9090,Host-associated,Animal,Animal surface
training_9091,Free-living,Non-saline,Water (non-saline)
training_9092,Free-living,Non-saline,Surface (non-saline)
training_9093,Host-associated,Animal,Animal surface
training_9094,Host-associated,Plant,Plant surface
training_9095,Host-associated,Plant,Plant surface
training_9096,Host-associated,Animal,Animal secretion
training_9097,Free-living,Non-saline,Surface (non-saline)
training_9098,Host-associated,Animal,Animal secretion
training_9099,Free-living,Non-saline,Water (non-saline)
training_9100,Host-associated,Animal,Animal surface
training_9101,Free-living,Non-saline,Soil (non-saline)
training_9102,Host-associated,Animal,Animal secretion
training_9103,Free-living,Non-saline,Water (non-saline)
training_9104,Host-associated,Plant,Plant rhizosphere
training_9105,Free-living,Non-saline,Soil (non-saline)
training_9106,Free-living,Saline,Water (saline)
training_9107,Host-associated,Plant,Plant rhizosphere
training_9108,Free-living,Non-saline,Water (non-saline)
training_9109,Free-living,Non-saline,Soil (non-saline)
training_9110,Free-living,Non-saline,Surface (non-saline)
training_9111,Free-living,Non-saline,Soil (non-saline)
training_9112,Host-associated,Plant,Plant rhizosphere
training_9113,Free-living,Non-saline,Soil (non-saline)
training_9114,Free-living,Non-saline,Sediment (non-saline)
training_9115,Free-living,Non-saline,Soil (non-saline)
training_9116,Host-associated,Plant,Plant surface
training_9117,Host-associated,Animal,Animal corpus
training_9118,Free-living,Non-saline,Water (non-saline)
training_9119,Host-associated,Animal,Animal surface
training_9120,Host-associated,Animal,Animal distal gut
training_9121,Free-living,Non-saline,Water (non-saline)
training_9122,Host-associated,Plant,Plant rhizosphere
training_9123,Free-living,Non-saline,Water (non-saline)
training_9124,Free-living,Non-saline,Water (non-saline)
training_9125,Free-living,Non-saline,Water (non-saline)
training_9126,Host-associated,Animal,Animal surface
training_9127,Free-living,Non-saline,Water (non-saline)
training_9128,Free-living,Non-saline,Water (non-saline)
training_9129,Host-associated,Plant,Plant surface
training_9130,Host-associated,Animal,Animal secretion
training_9131,Free-living,Non-saline,Surface (non-saline)
training_9132,Host-associated,Plant,Plant rhizosphere
training_9133,Host-associated,Animal,Animal distal gut
training_9134,Host-associated,Animal,Animal proximal gut
training_9135,Host-associated,Animal,Animal secretion
training_9136,Free-living,Non-saline,Water (non-saline)
training_9137,Host-associated,Animal,Animal distal gut
training_9138,Host-associated,Animal,Animal distal gut
training_9139,Host-associated,Animal,Animal distal gut
training_9140,Host-associated,Animal,Animal distal gut
training_9141,Host-associated,Animal,Animal surface
training_9142,Free-living,Non-saline,Soil (non-saline)
training_9143,Free-living,Non-saline,Water (non-saline)
training_9144,Host-associated,Animal,Animal distal gut
training_9145,Free-living,Non-saline,Soil (non-saline)
training_9146,Free-living,Non-saline,Water (non-saline)
training_9147,Free-living,Saline,Water (saline)
training_9148,Host-associated,Animal,Animal distal gut
training_9149,Free-living,Non-saline,Sediment (non-saline)
training_9150,Free-living,Non-saline,Soil (non-saline)
training_9151,Host-associated,Animal,Animal distal gut
training_9152,Free-living,Saline,Water (saline)
training_9153,Host-associated,Animal,Animal secretion
training_9154,Host-associated,Animal,Animal distal gut
training_9155,Host-associated,Animal,Animal distal gut
training_9156,Host-associated,Animal,Animal surface
training_9157,Free-living,Non-saline,Water (non-saline)
training_9158,Host-associated,Plant,Plant surface
training_9159,Host-associated,Animal,Animal distal gut
training_9160,Free-living,Saline,Water (saline)
training_9161,Host-associated,Animal,Animal secretion
training_9162,Free-living,Non-saline,Water (non-saline)
training_9163,Host-associated,Animal,Animal secretion
training_9164,Free-living,Non-saline,Water (non-saline)
training_9165,Free-living,Saline,Sediment (saline)
training_9166,Free-living,Non-saline,Soil (non-saline)
training_9167,Free-living,Non-saline,Water (non-saline)
training_9168,Host-associated,Animal,Animal distal gut
training_9169,Host-associated,Animal,Animal distal gut
training_9170,Host-associated,Animal,Animal surface
training_9171,Host-associated,Animal,Animal surface
training_9172,Free-living,Non-saline,Soil (non-saline)
training_9173,Host-associated,Plant,Plant rhizosphere
training_9174,Free-living,Non-saline,Water (non-saline)
training_9175,Host-associated,Animal,Animal distal gut
training_9176,Free-living,Non-saline,Water (non-saline)
training_9177,Free-living,Non-saline,Soil (non-saline)
training_9178,Free-living,Non-saline,Soil (non-saline)
training_9179,Host-associated,Animal,Animal surface
training_9180,Host-associated,Animal,Animal distal gut
training_9181,Free-living,Non-saline,Water (non-saline)
training_9182,Host-associated,Animal,Animal surface
training_9183,Free-living,Non-saline,Water (non-saline)
training_9184,Free-living,Non-saline,Water (non-saline)
training_9185,Free-living,Non-saline,Surface (non-saline)
training_9186,Free-living,Non-saline,Water (non-saline)
training_9187,Free-living,Saline,Sediment (saline)
training_9188,Host-associated,Animal,Animal surface
training_9189,Host-associated,Plant,Plant surface
training_9190,Free-living,Non-saline,Soil (non-saline)
training_9191,Host-associated,Plant,Plant surface
training_9192,Host-associated,Animal,Animal corpus
training_9193,Host-associated,Plant,Plant surface
training_9194,Free-living,Non-saline,Soil (non-saline)
training_9195,Free-living,Non-saline,Water (non-saline)
training_9196,Free-living,Non-saline,Soil (non-saline)
training_9197,Host-associated,Animal,Animal surface
training_9198,Free-living,Non-saline,Soil (non-saline)
training_9199,Free-living,Non-saline,Water (non-saline)
training_9200,Free-living,Non-saline,Water (non-saline)
training_9201,Free-living,Non-saline,Surface (non-saline)
training_9202,Host-associated,Animal,Animal proximal gut
training_9203,Free-living,Non-saline,Surface (non-saline)
training_9204,Free-living,Non-saline,Soil (non-saline)
training_9205,Free-living,Non-saline,Surface (non-saline)
training_9206,Host-associated,Plant,Plant surface
training_9207,Host-associated,Plant,Plant rhizosphere
training_9208,Host-associated,Animal,Animal surface
training_9209,Free-living,Non-saline,Soil (non-saline)
training_9210,Host-associated,Animal,Animal distal gut
training_9211,Free-living,Non-saline,Sediment (non-saline)
training_9212,Host-associated,Animal,Animal distal gut
training_9213,Host-associated,Plant,Plant rhizosphere
training_9214,Free-living,Non-saline,Water (non-saline)
training_9215,Free-living,Non-saline,Soil (non-saline)
training_9216,Free-living,Non-saline,Soil (non-saline)
training_9217,Host-associated,Animal,Animal distal gut
training_9218,Host-associated,Animal,Animal distal gut
training_9219,Free-living,Saline,Sediment (saline)
training_9220,Host-associated,Animal,Animal surface
training_9221,Host-associated,Animal,Animal surface
training_9222,Host-associated,Animal,Animal distal gut
training_9223,Free-living,Non-saline,Water (non-saline)
training_9224,Host-associated,Animal,Animal distal gut
training_9225,Host-associated,Animal,Animal distal gut
training_9226,Free-living,Saline,Water (saline)
training_9227,Free-living,Non-saline,Sediment (non-saline)
training_9228,Free-living,Non-saline,Soil (non-saline)
training_9229,Host-associated,Animal,Animal distal gut
training_9230,Free-living,Non-saline,Soil (non-saline)
training_9231,Host-associated,Plant,Plant surface
training_9232,Host-associated,Animal,Animal secretion
training_9233,Free-living,Non-saline,Water (non-saline)
training_9234,Free-living,Non-saline,Water (non-saline)
training_9235,Free-living,Non-saline,Soil (non-saline)
training_9236,Host-associated,Animal,Animal surface
training_9237,Free-living,Non-saline,Surface (non-saline)
training_9238,Free-living,Non-saline,Water (non-saline)
training_9239,Host-associated,Animal,Animal surface
training_9240,Host-associated,Animal,Animal surface
training_9241,Host-associated,Animal,Animal surface
training_9242,Host-associated,Animal,Animal secretion
training_9243,Host-associated,Animal,Animal surface
training_9244,Host-associated,Animal,Animal secretion
training_9245,Free-living,Non-saline,Soil (non-saline)
training_9246,Host-associated,Animal,Animal surface
training_9247,Free-living,Non-saline,Soil (non-saline)
training_9248,Free-living,Non-saline,Water (non-saline)
training_9249,Host-associated,Plant,Plant surface
training_9250,Free-living,Non-saline,Soil (non-saline)
training_9251,Free-living,Saline,Sediment (saline)
training_9252,Free-living,Non-saline,Soil (non-saline)
training_9253,Host-associated,Animal,Animal distal gut
training_9254,Free-living,Non-saline,Water (non-saline)
training_9255,Free-living,Non-saline,Water (non-saline)
training_9256,Free-living,Non-saline,Water (non-saline)
training_9257,Host-associated,Animal,Animal surface
training_9258,Free-living,Non-saline,Soil (non-saline)
training_9259,Free-living,Non-saline,Soil (non-saline)
training_9260,Host-associated,Plant,Plant surface
training_9261,Host-associated,Animal,Animal distal gut
training_9262,Free-living,Non-saline,Soil (non-saline)
training_9263,Free-living,Non-saline,Water (non-saline)
training_9264,Host-associated,Animal,Animal secretion
training_9265,Host-associated,Animal,Animal surface
training_9266,Free-living,Non-saline,Surface (non-saline)
training_9267,Host-associated,Animal,Animal distal gut
training_9268,Free-living,Non-saline,Soil (non-saline)
training_9269,Free-living,Non-saline,Surface (non-saline)
training_9270,Host-associated,Animal,Animal proximal gut
training_9271,Host-associated,Animal,Animal distal gut
training_9272,Host-associated,Animal,Animal secretion
training_9273,Host-associated,Animal,Animal surface
training_9274,Host-associated,Plant,Plant rhizosphere
training_9275,Free-living,Non-saline,Surface (non-saline)
training_9276,Free-living,Non-saline,Water (non-saline)
training_9277,Free-living,Non-saline,Soil (non-saline)
training_9278,Free-living,Non-saline,Water (non-saline)
training_9279,Free-living,Non-saline,Water (non-saline)
training_9280,Host-associated,Animal,Animal distal gut
training_9281,Host-associated,Animal,Animal distal gut
training_9282,Host-associated,Animal,Animal secretion
training_9283,Host-associated,Animal,Animal distal gut
training_9284,Free-living,Saline,Water (saline)
training_9285,Free-living,Non-saline,Water (non-saline)
training_9286,Free-living,Non-saline,Water (non-saline)
training_9287,Free-living,Non-saline,Water (non-saline)
training_9288,Free-living,Non-saline,Water (non-saline)
training_9289,Host-associated,Animal,Animal proximal gut
training_9290,Free-living,Non-saline,Soil (non-saline)
training_9291,Free-living,Non-saline,Water (non-saline)
training_9292,Host-associated,Animal,Animal secretion
training_9293,Free-living,Non-saline,Soil (non-saline)
training_9294,Free-living,Non-saline,Soil (non-saline)
training_9295,Host-associated,Animal,Animal distal gut
training_9296,Host-associated,Animal,Animal surface
training_9297,Free-living,Non-saline,Soil (non-saline)
training_9298,Host-associated,Animal,Animal distal gut
training_9299,Host-associated,Plant,Plant surface
training_9300,Free-living,Non-saline,Soil (non-saline)
training_9301,Free-living,Non-saline,Water (non-saline)
training_9302,Host-associated,Animal,Animal distal gut
training_9303,Host-associated,Animal,Animal surface
training_9304,Host-associated,Animal,Animal distal gut
training_9305,Free-living,Non-saline,Water (non-saline)
training_9306,Free-living,Non-saline,Water (non-saline)
training_9307,Host-associated,Animal,Animal corpus
training_9308,Free-living,Non-saline,Water (non-saline)
training_9309,Free-living,Non-saline,Surface (non-saline)
training_9310,Host-associated,Animal,Animal distal gut
training_9311,Host-associated,Animal,Animal surface
training_9312,Free-living,Non-saline,Soil (non-saline)
training_9313,Free-living,Non-saline,Water (non-saline)
training_9314,Free-living,Non-saline,Water (non-saline)
training_9315,Free-living,Non-saline,Water (non-saline)
training_9316,Free-living,Non-saline,Soil (non-saline)
training_9317,Free-living,Non-saline,Water (non-saline)
training_9318,Host-associated,Animal,Animal secretion
training_9319,Host-associated,Plant,Plant surface
training_9320,Host-associated,Animal,Animal distal gut
training_9321,Host-associated,Animal,Animal secretion
training_9322,Free-living,Non-saline,Water (non-saline)
training_9323,Free-living,Non-saline,Surface (non-saline)
training_9324,Free-living,Non-saline,Soil (non-saline)
training_9325,Host-associated,Animal,Animal distal gut
training_9326,Host-associated,Plant,Plant corpus
training_9327,Host-associated,Plant,Plant surface
training_9328,Free-living,Non-saline,Surface (non-saline)
training_9329,Host-associated,Animal,Animal distal gut
training_9330,Host-associated,Plant,Plant surface
training_9331,Free-living,Saline,Water (saline)
training_9332,Free-living,Saline,Surface (saline)
training_9333,Free-living,Non-saline,Water (non-saline)
training_9334,Free-living,Non-saline,Soil (non-saline)
training_9335,Host-associated,Plant,Plant surface
training_9336,Host-associated,Plant,Plant rhizosphere
training_9337,Host-associated,Animal,Animal distal gut
training_9338,Free-living,Saline,Water (saline)
training_9339,Free-living,Non-saline,Surface (non-saline)
training_9340,Free-living,Non-saline,Soil (non-saline)
training_9341,Free-living,Non-saline,Surface (non-saline)
training_9342,Host-associated,Animal,Animal secretion
training_9343,Free-living,Non-saline,Soil (non-saline)
training_9344,Free-living,Saline,Water (saline)
training_9345,Host-associated,Animal,Animal surface
training_9346,Host-associated,Animal,Animal corpus
training_9347,Free-living,Non-saline,Soil (non-saline)
training_9348,Free-living,Non-saline,Water (non-saline)
training_9349,Free-living,Non-saline,Soil (non-saline)
training_9350,Host-associated,Animal,Animal surface
training_9351,Host-associated,Animal,Animal secretion
training_9352,Host-associated,Animal,Animal distal gut
training_9353,Host-associated,Animal,Animal surface
training_9354,Host-associated,Plant,Plant surface
training_9355,Free-living,Non-saline,Soil (non-saline)
training_9356,Free-living,Non-saline,Water (non-saline)
training_9357,Free-living,Non-saline,Soil (non-saline)
training_9358,Host-associated,Animal,Animal surface
training_9359,Free-living,Non-saline,Surface (non-saline)
training_9360,Free-living,Saline,Water (saline)
training_9361,Host-associated,Plant,Plant rhizosphere
training_9362,Free-living,Non-saline,Sediment (non-saline)
training_9363,Host-associated,Animal,Animal secretion
training_9364,Free-living,Non-saline,Water (non-saline)
training_9365,Free-living,Saline,Water (saline)
training_9366,Free-living,Non-saline,Water (non-saline)
training_9367,Free-living,Non-saline,Water (non-saline)
training_9368,Free-living,Non-saline,Soil (non-saline)
training_9369,Free-living,Non-saline,Water (non-saline)
training_9370,Free-living,Non-saline,Soil (non-saline)
training_9371,Free-living,Non-saline,Water (non-saline)
training_9372,Free-living,Non-saline,Soil (non-saline)
training_9373,Free-living,Non-saline,Water (non-saline)
training_9374,Free-living,Non-saline,Surface (non-saline)
training_9375,Free-living,Non-saline,Water (non-saline)
training_9376,Host-associated,Animal,Animal distal gut
training_9377,Host-associated,Animal,Animal secretion
training_9378,Free-living,Non-saline,Sediment (non-saline)
training_9379,Free-living,Non-saline,Water (non-saline)
training_9380,Host-associated,Animal,Animal distal gut
training_9381,Free-living,Non-saline,Soil (non-saline)
training_9382,Host-associated,Animal,Animal distal gut
training_9383,Host-associated,Animal,Animal secretion
training_9384,Free-living,Saline,Sediment (saline)
training_9385,Free-living,Non-saline,Soil (non-saline)
training_9386,Host-associated,Animal,Animal distal gut
training_9387,Host-associated,Animal,Animal distal gut
training_9388,Host-associated,Plant,Plant surface
training_9389,Free-living,Non-saline,Water (non-saline)
training_9390,Free-living,Non-saline,Water (non-saline)
training_9391,Free-living,Non-saline,Soil (non-saline)
training_9392,Host-associated,Animal,Animal surface
training_9393,Host-associated,Animal,Animal distal gut
training_9394,Free-living,Non-saline,Water (non-saline)
training_9395,Free-living,Non-saline,Soil (non-saline)
training_9396,Free-living,Non-saline,Water (non-saline)
training_9397,Host-associated,Animal,Animal distal gut
training_9398,Host-associated,Animal,Animal distal gut
training_9399,Free-living,Non-saline,Water (non-saline)
training_9400,Host-associated,Animal,Animal surface
training_9401,Host-associated,Animal,Animal distal gut
training_9402,Free-living,Non-saline,Water (non-saline)
training_9403,Free-living,Non-saline,Surface (non-saline)
training_9404,Host-associated,Animal,Animal distal gut
training_9405,Free-living,Non-saline,Water (non-saline)
training_9406,Free-living,Non-saline,Water (non-saline)
training_9407,Free-living,Non-saline,Surface (non-saline)
training_9408,Host-associated,Animal,Animal distal gut
training_9409,Host-associated,Plant,Plant rhizosphere
training_9410,Free-living,Non-saline,Soil (non-saline)
training_9411,Host-associated,Animal,Animal distal gut
training_9412,Free-living,Non-saline,Soil (non-saline)
training_9413,Host-associated,Animal,Animal secretion
training_9414,Host-associated,Animal,Animal secretion
training_9415,Free-living,Non-saline,Soil (non-saline)
training_9416,Free-living,Non-saline,Sediment (non-saline)
training_9417,Free-living,Non-saline,Surface (non-saline)
training_9418,Host-associated,Plant,Plant surface
training_9419,Host-associated,Animal,Animal surface
training_9420,Free-living,Non-saline,Water (non-saline)
training_9421,Host-associated,Animal,Animal proximal gut
training_9422,Free-living,Non-saline,Water (non-saline)
training_9423,Host-associated,Animal,Animal surface
training_9424,Free-living,Non-saline,Soil (non-saline)
training_9425,Free-living,Non-saline,Soil (non-saline)
training_9426,Free-living,Non-saline,Soil (non-saline)
training_9427,Host-associated,Animal,Animal distal gut
training_9428,Free-living,Non-saline,Soil (non-saline)
training_9429,Host-associated,Animal,Animal distal gut
training_9430,Free-living,Non-saline,Water (non-saline)
training_9431,Host-associated,Animal,Animal surface
training_9432,Free-living,Non-saline,Water (non-saline)
training_9433,Host-associated,Animal,Animal secretion
training_9434,Free-living,Non-saline,Water (non-saline)
training_9435,Free-living,Non-saline,Soil (non-saline)
training_9436,Host-associated,Animal,Animal distal gut
training_9437,Host-associated,Plant,Plant surface
training_9438,Free-living,Non-saline,Surface (non-saline)
training_9439,Host-associated,Animal,Animal distal gut
training_9440,Free-living,Non-saline,Water (non-saline)
training_9441,Host-associated,Plant,Plant surface
training_9442,Free-living,Non-saline,Soil (non-saline)
training_9443,Free-living,Saline,Water (saline)
training_9444,Free-living,Non-saline,Sediment (non-saline)
training_9445,Host-associated,Plant,Plant rhizosphere
training_9446,Free-living,Non-saline,Soil (non-saline)
training_9447,Host-associated,Animal,Animal distal gut
training_9448,Free-living,Non-saline,Soil (non-saline)
training_9449,Host-associated,Animal,Animal secretion
training_9450,Host-associated,Animal,Animal secretion
training_9451,Free-living,Non-saline,Surface (non-saline)
training_9452,Host-associated,Animal,Animal secretion
training_9453,Host-associated,Animal,Animal surface
